,Unnamed: 0,objid,x,y,ra,dec,flux_z,original_image
17711,17711,J033230.42-274936.3,7768.751,1497.5320000000002,53.126741700000004,-27.826751399999996,0.0140026,h_s_sect23_v2.0_drz_img.fits
17733,17733,J033230.45-274953.5,7756.392,924.55,53.126864299999994,-27.831526500000002,0.00401845,h_s_sect23_v2.0_drz_img.fits
17736,17736,J033230.45-274949.4,7754.24,1058.886,53.12688320000001,-27.8304015,0.0031991999999999997,h_s_sect23_v2.0_drz_img.fits
17741,17741,J033230.46-274740.3,7751.808000000001,5362.552,53.126900600000006,-27.794543100000006,0.0040515,h_s_sect23_v2.0_drz_img.fits
17742,17742,J033230.46-274647.2,7751.3730000000005,7133.156999999999,53.1269,-27.779784799999998,0.00789656,h_s_sect23_v2.0_drz_img.fits
17743,17743,J033230.46-274955.6,7751.559,852.7669999999999,53.1269115,-27.832118100000002,0.00266648,h_s_sect23_v2.0_drz_img.fits
17744,17744,J033230.46-274803.1,7749.94,4604.875,53.1269196,-27.8008515,0.0212863,h_s_sect23_v2.0_drz_img.fits
17748,17748,J033230.47-274935.3,7746.8240000000005,1531.1689999999999,53.126948899999995,-27.826468100000003,0.00308031,h_s_sect23_v2.0_drz_img.fits
17749,17749,J033230.47-274644.5,7745.815,7222.201,53.1269566,-27.779051399999997,0.00508214,h_s_sect23_v2.0_drz_img.fits
17751,17751,J033230.47-275015.0,7743.99,206.72400000000002,53.126977600000004,-27.837501399999997,0.178214,h_s_sect23_v2.0_drz_img.fits
17756,17756,J033230.49-274928.8,7738.897,1748.8339999999998,53.127033700000005,-27.824651399999997,0.00608577,h_s_sect23_v2.0_drz_img.fits
17757,17757,J033230.49-274704.1,7738.024,6571.05,53.127022700000005,-27.784468100000005,0.00479938,h_s_sect23_v2.0_drz_img.fits
17761,17761,J033230.49-274646.9,7735.781999999999,7143.079000000001,53.1270507,-27.7797015,0.00794511,h_s_sect23_v2.0_drz_img.fits
17763,17763,J033230.49-274937.6,7735.74,1455.2679999999998,53.127062,-27.827093100000003,0.0051608,h_s_sect23_v2.0_drz_img.fits
17766,17766,J033230.50-274742.2,7734.626,5301.673000000001,53.127070200000006,-27.795043100000004,0.00476873,h_s_sect23_v2.0_drz_img.fits
17767,17767,J033230.50-274621.0,7734.352,8008.522,53.1270787,-27.772509799999998,0.00816696,h_s_sect23_v2.0_drz_img.fits
17777,17777,J033230.51-274624.9,7727.501,7876.411,53.127135200000005,-27.773593100000003,0.0141278,h_s_sect23_v2.0_drz_img.fits
17778,17778,J033230.51-275004.4,7727.514,560.003,53.1271377,-27.8345597,0.0128828,h_s_sect23_v2.0_drz_img.fits
17779,17779,J033230.51-274738.0,7726.224,5442.03,53.1271549,-27.7939098,0.00578617,h_s_sect23_v2.0_drz_img.fits
17789,17789,J033230.52-274630.4,7721.51,7692.849,53.1271824,-27.7751348,0.00215964,h_s_sect23_v2.0_drz_img.fits
17791,17791,J033230.53-274834.8,7721.575,3545.797,53.1272121,-27.809701399999998,0.00317564,h_s_sect23_v2.0_drz_img.fits
17795,17795,J033230.53-274821.0,7720.271,4005.7290000000003,53.127193000000005,-27.805843100000004,0.00511036,h_s_sect23_v2.0_drz_img.fits
17807,17807,J033230.55-275018.9,7710.66,75.63,53.127326399999994,-27.8385598,0.015143799999999999,h_s_sect23_v2.0_drz_img.fits
17810,17810,J033230.55-274934.5,7709.56,1557.79,53.127306999999995,-27.826243100000003,0.00386053,h_s_sect23_v2.0_drz_img.fits
17812,17812,J033230.55-274836.4,7708.581999999999,3492.19,53.1273064,-27.810126399999998,0.0392556,h_s_sect23_v2.0_drz_img.fits
17815,17815,J033230.56-274648.4,7705.434,7092.83,53.1273427,-27.780093100000006,0.00485485,h_s_sect23_v2.0_drz_img.fits
17816,17816,J033230.56-274932.4,7705.517,1625.961,53.127335200000005,-27.825676399999995,0.00850702,h_s_sect23_v2.0_drz_img.fits
17821,17821,J033230.57-274706.6,7702.927,6486.576999999999,53.1273618,-27.785176399999997,0.00317663,h_s_sect23_v2.0_drz_img.fits
17824,17824,J033230.57-274840.5,7702.49,3356.7729999999997,53.1273723,-27.811251399999996,0.00278264,h_s_sect23_v2.0_drz_img.fits
17829,17829,J033230.58-274812.9,7698.4890000000005,4277.508,53.127381400000004,-27.803601399999998,0.00423332,h_s_sect23_v2.0_drz_img.fits
17843,17843,J033230.59-274947.9,7691.222,1109.2830000000001,53.12747679999999,-27.8299848,0.00618143,h_s_sect23_v2.0_drz_img.fits
17845,17845,J033230.60-274915.6,7689.72,2187.25,53.1274858,-27.821026399999997,0.0034338000000000003,h_s_sect23_v2.0_drz_img.fits
