#CRTS ID	RA (J2000)	Dec (J2000)	UT Date	Mag	CSS images	SDSS	Others	Followed	Last	LC	FC	Classification
CSS100113:035003+370052	57.51434	37.01441	20100113.19	18.22	1001131380174108966	yes	10896	yes	2016-11-06	10896	yes	CV mag 21,5
CSS091218:035011+323230	57.54464	32.54156	20091218.26	17.07	912181320184134780	no	34780	yes	2016-11-06	34780	yes	CV mag 18
CSS081030:035035+353247	57.64530	35.54637	20081030.36	16.48	810301350174147763	yes	47763	yes	2016-11-06	47763	no	Var red SDSS mag 19,2 obj
CSS161109:035036+135451	57.65194	13.91412	20161109.24	17.51	1611091120214135441	no	13544	no	2016-11-09	13544	yes	SN (ATLAS16dsr) SDSS mag
CSS160927:035110+152856	57.78992	15.48219	20160927.44	17.44	1609271150204118454	yes	11845	no	2016-11-09	11845	yes	CV? SDSS mag 22
CSS111118:035125+365600	57.85330	36.93332	20111118.35	18.34	1111181380174107847	yes	10784	yes	2016-11-06	10784	yes	Unknown SDSS mag 22,7
CSS080101:035151-062700	57.96099	-6.45013	20080101.25	18.70	801010070214125371	yes	25371	no	2016-11-07	25371	no	SN SDSS mag >22
CSS090917:035155-082319	57.97854	-8.38858	20090917.44	19.63	909170070214101363	no	01363	no	2016-11-07	01363	yes	AGN
CSS100209:035248+212505	58.20023	21.41818	20100209.16	18.92	1002091210204133830	no	13383	no	2016-11-05	13383	yes	SN mag 21 ABEL 468
CSS131203:035317+290857	58.32290	29.14914	20131203.24	17.76	1312031290194122465	no	12246	no	2016-11-06	12246	yes	Unknown mag >21
CSS111231:035318-034847	58.32582	-3.81310	20111231.27	15.24	1112310040214127410	no	12741	yes	2016-11-07	12741	yes	CV mag 18,1
CSS151130:035320+310808	58.33504	31.13554	20151130.37	18.28	1511301320184101718	no	10171	no	2016-11-06	10171	yes	CV mag >21,5
CSS081010:035324-164250	58.34945	-16.71395	20081010.37	18.23	810100150214102987	no	02987	no	2016-11-07	02987	no	CV no DSS mag > 20,5
CSS110929:035345+135814	58.43843	13.97065	20110929.37	19.80	1109291120214146918	no	14691	yes	2016-11-08	14691	yes	Unknown PQ mag >21,5
CSS161106:035401+333319	58.50609	33.55515	20161106.40	15.62	1611061320184156776	no	15677	no	2016-11-06	15677	yes	HPM 2MASS_J035400
CSS121209:035417+363039	58.57219	36.51075	20121209.21	16.05	1212091350184194219	yes	19421	no	2016-11-06	19421	yes	SN 2012hp UGC_2893
CSS091023:035420-175524	58.58454	-17.92347	20091023.40	19.14	910230180214124000	no	24000	yes	2016-10-11	24000	yes	Blazar CRATES_J035420-175502
CSS111020:035432-043602	58.63180	-4.60048	20111020.36	19.76	1110200040214115179	no	11517	yes	2016-11-07	11517	yes	Unknown PQ mag >21
CSS111224:035521+081626	58.83812	8.27376	20111224.17	19.83	1112241070214144460	no	14446	yes	2016-11-09	14446	yes	Flare PQ mag 21
CSS161109:035524+113331	58.84843	11.55875	20161109.24	19.55	1611091120214104142	yes	10414	no	2016-11-09	10414	yes	HPM 2MASS_J035523
CSS090919:035534+292150	58.89135	29.36397	20090919.42	16.09	909191290194136275	no	36275	yes	2016-11-06	36275	yes	CV mag 21
CSS090129:035557+134120	58.98740	13.68892	20090129.11	17.01	901291120214138371	no	38371	yes	2016-11-08	38371	no	CV? mag 21,5 obj
CSS121208:035617-305156	59.06994	-30.86548	20121208.26	18.91	1212080290194104068	no	10406	yes	2014-11-21	10406	yes	SN/CV mag >21
CSS110929:035641+103653	59.16908	10.61466	20110929.39	18.06	1109291090214135845	yes	13584	yes	2016-11-08	13584	yes	Flare SDSS mag 19,6
CSS091016:035648+050127	59.19806	5.02407	20091016.43	18.83	910161040224134177	yes	34177	yes	2016-11-09	34177	yes	Blazar? PQ mag 21,5 NVSS_J035648+050116
CSS100916:035656+083045	59.23416	8.51253	20100916.42	17.36	1009161090214101803	no	10180	yes	2016-11-08	10180	yes	SN 2010ia mag 14,9 CGCG_418-002 z=0,018
CSS151202:035659-125304	59.24786	-12.88457	20151202.30	18.74	1512020120214117598	yes	11759	no	2016-11-08	11759	yes	Unknown mag 19,8
CSS101013:035715-100944	59.31396	-10.16211	20101013.43	18.62	1010130090214116671	no	11667	yes	2016-11-08	11667	yes	CV?
CSS120926:035715-100944	59.31411	-10.16221	20120926.43	17.01	1209260090214114228	no	11422	yes	2016-11-08	11422	yes	CV? mag 20,0
CSS081006:035721+244052	59.33605	24.68101	20081006.44	19.57	810061230204149981	no	49981	yes	2016-10-21	49981	no	Ast?
